point,greedy_time_s,global_time_s,window_time_s,global_impr_rate,window_impr_rate,global_impr_rate_pct,window_impr_rate_pct
p1,1.252109513,1.254393004,1.252109513,-0.001823715174,0,-0.1823715174,0
p2,1.343902437,1.591699396,1.567760114,-0.1843861221,-0.1665728631,-18.43861221,-16.65728631
p3,0.8380500448,0.8137965286,0.8231609523,0.02894041511,0.01776635251,2.894041511,1.776635251
p4,1.868865117,1.578184588,1.605447102,0.1555385276,0.1409507902,15.55385276,14.09507902
p5,1.262269052,1.174532047,1.174532047,0.06950737213,0.06950737213,6.950737213,6.950737213
p6,1.80614636,1.806143372,1.80624885,1.65396437e-06,-5.674535155e-05,0.000165396437,-0.005674535155
p7,1.175491322,1.175484602,1.175581384,5.716735739e-06,-7.66165762e-05,0.0005716735739,-0.00766165762
p8,1.415382738,1.429721839,1.428011607,-0.0101308999,-0.008922581838,-1.01308999,-0.8922581838
p9,1.656930203,1.417165501,1.418826185,0.1447041656,0.1437018999,14.47041656,14.37018999
p10,1.41556289,1.415512269,1.415562596,3.576021516e-05,2.077086223e-07,0.003576021516,2.077086223e-05
